Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-2653.359	-3275.767	622.4085	0.04004	0.548647	0.40535	0.00596303	0.3606119	1.487574	4.879521	0.3592291
6	-2635.68	-3258.089	622.409	0.155572	0.462658	0.340376	0.0413932	0.4742583	1.465143	4.836737	0.3592291
12	-2654.148	-3276.069	621.9205	0.227714	0.354125	0.372822	0.0453389	0.4164323	1.341423	4.899801	0.909737
18	-2664.251	-3283.656	619.4052	0.223003	0.186343	0.480238	0.110415	0.600646	1.385324	6.03745	1.133578
24	-2650.663	-3273.366	622.7027	0.31328	0.154342	0.442944	0.0894346	0.7405659	1.470081	4.355688	0.6513454
30	-2642.242	-3267.669	625.4271	0.439277	0.120732	0.35172	0.0882708	0.5678013	1.667561	2.954956	0.2700234
36	-2624.614	-3249.823	625.2093	0.385261	0.200174	0.331395	0.0831699	0.6525427	1.749248	2.954956	0.3632336
42	-2629.705	-3253.446	623.7402	0.400845	0.290423	0.187463	0.121269	0.5529738	1.746838	2.960056	2.07943
48	-2627.961	-3250.316	622.355	0.433116	0.156364	0.268317	0.142204	0.9084744	1.610124	3.034765	3.743114
54	-2623.57	-3246.405	622.8356	0.405273	0.164044	0.281495	0.149188	1.23815	1.669795	3.325544	1.657586
60	-2627.676	-3249.286	621.6096	0.436881	0.0988476	0.303449	0.160823	0.9664347	1.777603	3.789487	2.443692
66	-2625.805	-3248.273	622.4682	0.268856	0.15871	0.455564	0.11687	0.6452973	1.428988	4.091225	1.518161
72	-2644.315	-3263.199	618.8839	0.483103	0.159509	0.0656454	0.291743	1.617444	1.470799	4.627781	4.115956
78	-2630.961	-3252.533	621.5721	0.462153	0.11602	0.159785	0.262042	1.617444	1.582131	4.282531	0.953819
84	-2626.485	-3247.914	621.4293	0.412252	0.103493	0.250506	0.233749	2.15203	1.611513	4.077261	1.013791
90	-2633.124	-3255.071	621.9468	0.434478	0.104489	0.311104	0.149928	1.563974	1.625253	4.077261	0.9425401
96	-2622.652	-3243.072	620.4202	0.386893	0.0529838	0.330387	0.229736	1.466761	1.628853	4.8609	1.160683
102	-2618.95	-3241.02	622.0698	0.408208	0.0519238	0.427727	0.112141	1.16843	1.531528	4.140454	1.160683
108	-2628.234	-3247.94	619.7052	0.422376	0.19737	0.260893	0.119361	1.905646	1.551585	5.272078	0.8518653
